gender,age
M,15
M,42
K,31
M,11
M,7
M,5
M,2
M,32
K,32
M,7
K,4
K,1
K,13
K,2
K,76
K,35
M,6
K,4
M,66
K,82
K,55
M,45
K,50
M,30
K,20
M,38
K,35
K,5
K,3
K,26
K,37
K,70
M,31
K,33
M,5
K,2
K,32
K,4
K,2
M,52
K,36
M,29
M,17
K,21
K,68
K,51
K,30
M,47
K,66
M,22
M,34
K,28
M,2
K,1
K,15
K,22
K,16
M,18
M,45
K,38
K,15
K,13
K,9
K,18
M,32
M,19
K,50
M,36
K,38
K,77
M,15
M,76
K,56
M,39
K,35
K,4
K,1
K,3
M,64
K,55
M,10
M,50
M,48
M,50
K,55
K,43
M,27
K,30
M,29
K,24
K,56
K,21
K,54
M,13
M,42
K,39
M,11
K,9
K,7
M,1
K,0
M,33
K,34
M,36
K,36
U,7
K,5
M,2
M,32
M,43
K,44
M,36
K,37
K,20
K,43
K,44
K,26
M,37
K,27
K,17
K,48
K,35
M,25
K,26
K,2
K,21
M,42
K,41
K,8
M,7
M,2
M,32
K,34
M,10
M,4
K,63
K,64
K,18
M,38
K,30
M,8
K,4
K,1
M,28
M,20
M,21
M,15
K,23
M,25
K,21
K,NULL
K,52
M,28
M,24
M,16
M,66
K,46
M,22
M,26
K,36
K,23
K,19
M,29
M,64
K,52
K,48
K,20
M,13
K,12
M,10
K,9
M,43
K,42
M,10
K,7
M,4
M,2
M,54
K,19
K,9
M,17
M,15
M,11
M,26
K,49
M,15
K,24
M,40
K,32
K,2
M,1
M,21
M,18
K,25
K,22
M,33
K,34
K,9
M,7
K,4
K,15
M,28
M,16
M,44
K,44
K,13
K,11
K,9
K,5
K,3
M,24
M,22
M,25
M,20
M,19
M,16
K,24
K,19
K,20
K,64
K,30
M,51
K,49
K,21
M,17
M,15
K,12
K,21
M,30
K,23
M,1
K,21
K,26
M,22
M,17
M,34
M,33
K,29
M,4
M,2
K,17
M,51
K,49
K,19
K,17
K,15
M,30
M,18
M,16
M,31
K,27
K,23
M,53
K,48
M,23
K,17
M,51
M,26
M,23
M,25
M,22
M,22
M,16
M,28
K,28
K,21
M,51
K,26
K,16
M,41
M,29
M,24
M,18
M,25
K,29
K,19
M,34
M,17
M,30
K,44
M,12
M,31
K,30
M,5
K,45
K,14
M,12
M,9
K,7
M,5
K,56
K,74
K,38
M,27
K,27
M,2
M,32
K,27
K,2
K,77
M,54
M,53
K,21
M,36
M,46
K,36
M,10
K,8
K,23
M,19
M,32
K,33
M,10
M,2
K,8
K,18
M,19
M,70
K,60
K,27
M,21
M,14
K,24
K,44
M,6
M,4
M,32
K,40
K,5
M,1
M,38
K,37
K,6
M,4
K,2
M,27
M,70
M,39
K,40
M,15
K,13
M,11
K,1
M,53
K,52
K,1
K,56
M,31
K,34
K,3
M,33
K,42
M,28
K,27
K,3
K,1
M,38
K,31
K,7
M,5
M,72
K,58
M,38
K,36
M,7
M,2
M,31
K,27
M,30
M,35
K,38
M,8
M,25
M,24
M,25
M,50
K,45
M,39
K,26
M,1
K,58
M,42
K,49
K,12
M,6
M,3
M,24
M,24
M,33
K,42
M,64
K,55
M,27
M,24
K,18
M,37
K,34
K,6
M,4
K,2
M,23
M,24
M,24
M,24
K,75
K,45
K,32
M,36
K,37
M,28
K,1
K,27
K,51
M,40
K,27
M,12
M,10
M,9
K,7
K,4
M,34
K,33
K,12
K,10
M,8
M,48
K,30
M,5
K,5
K,3
M,26
K,28
K,1
M,50
K,47
M,13
M,10
K,74
M,35
K,32
M,1
M,26
M,39
K,73
K,25
M,54
M,37
K,39
M,4
K,2
M,22
M,16
K,21
M,45
M,36
M,13
K,38
K,28
M,34
K,30
K,7
M,5
K,3
K,21
M,23
M,22
M,19
M,42
K,28
M,2
M,1
K,35
K,6
M,4
M,33
K,42
M,4
K,2
K,1
M,20
M,19
M,17
M,17
M,31
K,21
K,19
M,19
M,15
M,36
K,31
K,1
M,60
K,60
M,37
K,25
K,0
M,21
K,20
M,16
M,51
K,50
M,23
M,21
K,17
K,10
M,7
K,34
K,25
M,19
M,15
M,32
K,28
K,4
M,3
M,34
M,23
M,53
K,53
M,16
K,14
M,18
M,17
M,17
M,16
M,14
M,15
M,15
M,11
K,26
K,39
M,31
K,32
M,2
K,30
K,22
M,46
K,40
M,14
M,11
M,5
K,21
M,21
M,20
M,18
M,19
K,60
M,20
M,17
M,27
K,24
K,2
K,28
M,19
M,20
M,40
K,29
K,7
K,5
M,2
M,69
M,27
M,30
M,23
K,46
M,12
K,21
K,19
M,27
M,18
M,14
M,14
M,13
M,35
K,35
M,4
M,3
K,36
M,20
M,28
M,37
K,25
M,4
K,25
M,38
K,35
K,7
M,22
M,25
M,44
K,38
M,14
K,14
K,12
K,10
M,8
M,7
M,33
M,27
M,37
M,17
K,20
K,19
M,30
K,34
K,12
K,12
K,8
K,2
K,70
M,49
K,54
M,38
M,66
K,44
M,14
M,7
M,28
K,23
K,1
M,39
K,35
M,38
K,37
K,5
K,1
M,21
M,37
K,43
K,13
M,10
M,6
M,29
K,32
K,5
M,22
M,23
M,53
K,60
M,23
M,77
K,81
M,34
M,8
M,5
M,34
K,36
K,4
M,40
K,42
M,11
K,8
M,5
K,3
M,0
M,26
M,20
K,23
M,42
K,40
K,11
K,10
M,6
M,21
M,17
M,16
M,16
K,23
K,24
M,30
M,25
M,27
M,40
K,38
K,11
M,10
M,56
K,46
K,13
K,11
K,9
K,5
K,61
K,35
K,77
K,30
M,65
K,60
K,31
K,26
K,31
K,25
M,49
K,42
M,20
K,18
K,13
K,7
M,5
M,2
K,18
M,39
K,36
K,38
K,72
K,16
M,26
M,72
M,56
M,51
K,24
M,19
M,17
K,25
M,26
M,33
M,38
K,32
K,17
K,37
K,40
M,18
K,13
K,55
K,38
K,60
K,21
K,20
M,37
K,40
M,8
K,6
M,3
K,90
K,49
K,14
M,16
K,14
M,13
M,32
K,29
K,4
K,1
M,25
M,21
K,57
K,30
K,63
K,34
M,27
K,29
M,5
K,3
K,1
K,19
K,71
K,35
K,24
M,35
K,35
M,5
K,4
M,3
M,1
K,3
M,23
M,21
M,19
M,18
M,16
K,31
M,30
K,31
K,4
K,1
M,54
K,71
K,53
K,26
M,22
M,13
K,11
M,26
K,29
M,8
M,3
M,2
M,75
K,23
M,60
K,50
K,21
K,17
K,15
M,11
M,40
K,25
K,1
M,37
K,37
K,7
K,4
M,30
K,38
M,13
M,41
K,41
M,13
M,12
M,6
K,5
M,2
K,58
K,25
M,42
K,38
K,7
K,4
K,23
M,30
K,33
M,5
M,3
K,35
M,22
M,20
M,15
M,70
K,68
M,39
K,35
K,8
